날짜,시간대별시간,업종명,목적지광역시도명,목적지시군구명,주문건수,시간대별시간(강서구),주문건수(강서구)
2020-05-11,10,카페/디저트,서울특별시,노원구,2,,
2020-05-11,10,카페/디저트,서울특별시,동작구,4,,
2020-05-11,10,카페/디저트,서울특별시,양천구,3,,
2020-05-11,10,카페/디저트,서울특별시,영등포구,1,,
2020-05-11,11,카페/디저트,서울특별시,관악구,9,,
2020-05-11,11,카페/디저트,서울특별시,구로구,12,,
2020-05-11,11,카페/디저트,서울특별시,금천구,5,,
2020-05-11,11,카페/디저트,서울특별시,노원구,6,,
2020-05-11,11,카페/디저트,서울특별시,동작구,3,,
2020-05-11,11,카페/디저트,서울특별시,양천구,3,,
2020-05-11,11,카페/디저트,서울특별시,중랑구,2,,
2020-05-11,12,카페/디저트,서울특별시,관악구,3,,
2020-05-11,12,카페/디저트,서울특별시,구로구,16,,
2020-05-11,12,카페/디저트,서울특별시,금천구,3,,
2020-05-11,12,카페/디저트,서울특별시,노원구,4,,
2020-05-11,12,카페/디저트,서울특별시,동작구,5,,
2020-05-11,12,카페/디저트,서울특별시,양천구,6,,
2020-05-11,13,카페/디저트,서울특별시,관악구,15,,
2020-05-11,13,카페/디저트,서울특별시,구로구,14,,
2020-05-11,13,카페/디저트,서울특별시,금천구,3,,
2020-05-11,13,카페/디저트,서울특별시,노원구,3,,
2020-05-11,13,카페/디저트,서울특별시,동작구,3,,
2020-05-11,13,카페/디저트,서울특별시,마포구,1,,
2020-05-11,13,카페/디저트,서울특별시,양천구,6,,
2020-05-11,13,카페/디저트,서울특별시,영등포구,2,,
2020-05-11,14,카페/디저트,서울특별시,관악구,6,,
2020-05-11,14,카페/디저트,서울특별시,구로구,7,,
2020-05-11,14,카페/디저트,서울특별시,금천구,3,,
2020-05-11,14,카페/디저트,서울특별시,노원구,2,,
2020-05-11,14,카페/디저트,서울특별시,동작구,3,,
2020-05-11,14,카페/디저트,서울특별시,양천구,5,,
2020-05-11,15,카페/디저트,서울특별시,관악구,4,,
2020-05-11,15,카페/디저트,서울특별시,구로구,8,,
2020-05-11,15,카페/디저트,서울특별시,금천구,5,,
2020-05-11,15,카페/디저트,서울특별시,노원구,8,,
2020-05-11,15,카페/디저트,서울특별시,동작구,3,,
2020-05-11,15,카페/디저트,서울특별시,양천구,5,,
2020-05-11,16,카페/디저트,서울특별시,관악구,6,,
2020-05-11,16,카페/디저트,서울특별시,구로구,7,,
2020-05-11,16,카페/디저트,서울특별시,금천구,2,,
2020-05-11,16,카페/디저트,서울특별시,노원구,2,,
2020-05-11,16,카페/디저트,서울특별시,동작구,4,,
2020-05-11,16,카페/디저트,서울특별시,서대문구,1,,
2020-05-11,16,카페/디저트,서울특별시,양천구,2,,
2020-05-11,17,카페/디저트,서울특별시,관악구,7,,
2020-05-11,17,카페/디저트,서울특별시,구로구,6,,
2020-05-11,17,카페/디저트,서울특별시,금천구,1,,
2020-05-11,17,카페/디저트,서울특별시,노원구,8,,
2020-05-11,17,카페/디저트,서울특별시,도봉구,1,,
2020-05-11,17,카페/디저트,서울특별시,동작구,6,,
2020-05-11,17,카페/디저트,서울특별시,양천구,6,,
2020-05-11,18,카페/디저트,서울특별시,관악구,7,,
2020-05-11,18,카페/디저트,서울특별시,구로구,7,,
2020-05-11,18,카페/디저트,서울특별시,노원구,4,,
2020-05-11,18,카페/디저트,서울특별시,동작구,7,,
2020-05-11,18,카페/디저트,서울특별시,마포구,1,,
2020-05-11,18,카페/디저트,서울특별시,양천구,6,,
2020-05-11,18,카페/디저트,서울특별시,영등포구,1,,
2020-05-11,19,카페/디저트,서울특별시,관악구,16,,
2020-05-11,19,카페/디저트,서울특별시,구로구,11,,
2020-05-11,19,카페/디저트,서울특별시,금천구,1,,
2020-05-11,19,카페/디저트,서울특별시,노원구,9,,
2020-05-11,19,카페/디저트,서울특별시,동작구,11,,
2020-05-11,19,카페/디저트,서울특별시,서대문구,2,,
2020-05-11,19,카페/디저트,서울특별시,양천구,3,,
2020-05-11,19,카페/디저트,서울특별시,영등포구,3,,
2020-05-11,20,카페/디저트,서울특별시,관악구,14,,
2020-05-11,20,카페/디저트,서울특별시,구로구,10,,
2020-05-11,20,카페/디저트,서울특별시,금천구,5,,
2020-05-11,20,카페/디저트,서울특별시,노원구,7,,
2020-05-11,20,카페/디저트,서울특별시,도봉구,1,,
2020-05-11,20,카페/디저트,서울특별시,동작구,13,,
2020-05-11,20,카페/디저트,서울특별시,양천구,8,,
2020-05-11,20,카페/디저트,서울특별시,영등포구,1,,
2020-05-11,21,카페/디저트,서울특별시,관악구,22,,
2020-05-11,21,카페/디저트,서울특별시,구로구,6,,
2020-05-11,21,카페/디저트,서울특별시,금천구,4,,
2020-05-11,21,카페/디저트,서울특별시,노원구,10,,
2020-05-11,21,카페/디저트,서울특별시,동작구,16,,
2020-05-11,21,카페/디저트,서울특별시,서대문구,1,,
2020-05-11,21,카페/디저트,서울특별시,양천구,9,,
2020-05-11,21,카페/디저트,서울특별시,영등포구,1,,
2020-05-11,22,카페/디저트,서울특별시,강서구,2,,
2020-05-11,22,카페/디저트,서울특별시,관악구,6,,
2020-05-11,22,카페/디저트,서울특별시,구로구,3,,
2020-05-11,22,카페/디저트,서울특별시,동작구,9,,
2020-05-11,22,카페/디저트,서울특별시,양천구,2,,
2020-05-12,0,카페/디저트,서울특별시,구로구,2,,
2020-05-12,10,카페/디저트,서울특별시,관악구,4,,
2020-05-12,10,카페/디저트,서울특별시,구로구,1,,
2020-05-12,10,카페/디저트,서울특별시,금천구,1,,
2020-05-12,10,카페/디저트,서울특별시,노원구,3,,
2020-05-12,10,카페/디저트,서울특별시,도봉구,1,,
2020-05-12,10,카페/디저트,서울특별시,동작구,2,,
2020-05-12,10,카페/디저트,서울특별시,양천구,3,,
2020-05-12,11,카페/디저트,서울특별시,관악구,3,,
2020-05-12,11,카페/디저트,서울특별시,구로구,4,,
2020-05-12,11,카페/디저트,서울특별시,금천구,2,,
2020-05-12,11,카페/디저트,서울특별시,노원구,2,,
2020-05-12,11,카페/디저트,서울특별시,동작구,2,,
2020-05-12,11,카페/디저트,서울특별시,양천구,1,,
2020-05-12,11,카페/디저트,서울특별시,영등포구,2,,
2020-05-12,12,카페/디저트,서울특별시,관악구,5,,
2020-05-12,12,카페/디저트,서울특별시,구로구,10,,
2020-05-12,12,카페/디저트,서울특별시,금천구,4,,
2020-05-12,12,카페/디저트,서울특별시,노원구,1,,
2020-05-12,12,카페/디저트,서울특별시,동작구,3,,
2020-05-12,12,카페/디저트,서울특별시,서대문구,2,,
2020-05-12,12,카페/디저트,서울특별시,양천구,1,,
2020-05-12,13,카페/디저트,서울특별시,관악구,8,,
