id,gender,age,breakfast,lunch,dinner,expend,frequency
1B08210403,1,26,0,0,0,4,3
1B08210601,2,36,0,0,0,3,3
1B08210901,2,49,1,0,0,2,3
1B08310101,2,46,0,0,0,3,3
1B08310301,2,50,0,0,0,3,3
1B08310401,2,68,0,0,0,3,3
1B08310402,1,72,0,0,0,3,3
1B08310501,2,60,0,0,0,3,3
1B08310601,2,63,0,0,0,3,3
1B08310602,2,33,0,0,0,3,3
1B08310701,2,55,0,0,0,3,3
1B08310801,1,61,0,0,0,3,3
1B08310901,2,68,0,0,0,3,3
1B08410101,2,55,0,0,0,3,2
1B08410102,1,55,0,0,0,3,2
1B08410201,2,60,0,0,0,4,2
1B08410202,1,63,0,0,0,3,2
1B08410501,2,52,0,0,0,4,3
1B08410502,1,58,0,0,0,4,3
1B08410601,2,60,0,0,0,4,2
1B08410602,1,64,1,0,0,2,2
1B08510301,2,53,0,0,1,3,2
1B08510302,1,56,0,0,0,2,2
1B08510501,2,53,0,0,0,3,3
1B08510502,1,56,0,0,0,3,3
1B08510601,1,59,0,0,0,3,
1B08510801,2,59,0,0,0,3,
1B08610701,2,59,0,0,0,3,3
1B08610702,1,59,0,0,0,2,3
1B08810101,1,36,0,0,0,3,3
1B08810102,2,61,0,0,0,4,3
1B08810301,2,58,0,0,0,4,6
1B08810302,1,62,0,0,0,3,6
1B08810401,2,59,1,0,0,4,3
1B08810402,1,63,1,0,0,3,3
1B08810601,1,59,0,0,0,3,3
1B08810602,2,55,0,0,0,3,3
1B08910101,2,54,0,0,0,3,3
1B08910102,1,64,0,0,0,3,3
1B08910201,2,56,0,0,0,3,3
1B08910202,1,59,0,0,0,,3
1B08910301,2,64,0,0,0,3,3
1B08910302,1,68,0,0,0,3,3
1B08910401,2,52,0,0,0,4,4
1B08910402,1,54,0,0,0,,4
1B08910501,2,55,0,0,0,4,3
1B08910502,1,58,0,0,0,4,3
1B08910601,2,38,0,0,0,3,3
1B08910602,1,40,0,0,0,3,3
1B08910701,2,35,0,0,0,4,4
1B08910702,1,36,0,0,0,4,4
1B08910801,1,54,0,0,0,3,4
1B08910802,2,52,0,1,0,3,4
1B08911001,1,32,0,0,0,3,3
1B08911002,2,32,0,0,0,3,3
1B09010301,2,59,0,0,0,0,3
1B09010302,1,60,0,0,0,3,3
1B09010801,2,34,0,0,0,4,
1B09010802,1,35,0,0,0,3,
1B09110201,2,49,0,0,0,2,3
1B09110202,1,53,0,0,0,3,3
1B09110203,1,21,0,0,0,4,3
1B09110204,2,19,0,0,0,2,3
1B09210101,1,51,0,0,0,3,3
1B09210102,2,46,0,0,0,3,3
1B09210103,2,20,0,0,0,3,3
1B09310301,1,63,0,0,0,,2
1B09310701,2,63,0,0,0,3,
1B09410101,2,56,0,0,0,3,4
1B09410102,1,56,0,0,0,3,4
1B09410103,1,26,0,0,0,4,4
1B09410201,2,54,0,0,0,3,3
1B09410202,1,57,0,0,0,4,3
1B09410401,1,55,0,0,0,3,3
1B09410501,2,50,0,0,0,3,4
1B09410502,1,19,0,0,0,3,4
1B09410601,2,57,0,0,0,3,3
1B09410602,1,26,0,0,0,3,3
1B09410701,1,45,0,0,0,2,3
1B09410702,1,37,0,0,0,3,3
1B09410801,1,39,0,0,0,3,
1B09410901,2,33,0,0,0,3,3
1B09411001,1,56,0,0,0,3,3
1B09411101,2,42,0,0,0,4,3
1B09411102,1,42,0,0,0,3,3
1B09510101,2,55,0,0,0,2,2
1B09510102,2,28,0,0,0,2,2
1B09510501,2,48,0,0,0,2,3
1B09510502,1,49,0,0,0,3,3
1B09510503,1,23,0,0,0,4,3
1B09510504,2,21,0,0,0,4,3
1B09510601,2,73,0,0,0,2,4
1B09510701,2,51,0,0,0,3,2
1B09510702,1,60,0,0,0,3,2
1B09510703,2,26,0,0,0,4,2
1B09510704,1,24,0,0,0,3,2
1B09510801,2,56,0,0,0,4,2
1B09510802,1,61,0,0,0,3,2
1B09510901,2,59,0,0,0,3,3
1B09510902,1,57,0,0,0,3,3
1B09510903,1,38,0,0,0,3,3
1B09511001,2,65,0,0,0,3,3
1B09511002,1,66,0,0,0,2,3
1B09610101,1,52,0,0,0,3,3
1B09610201,2,55,0,0,0,3,3
1B09610202,1,61,0,0,0,3,3
1B09610203,1,28,0,0,0,3,3
1B09610301,2,53,0,0,0,3,3
1B09610302,1,53,0,0,0,2,3
1B09610401,2,56,0,0,0,3,3
1B09610402,1,60,0,0,0,3,3
1B09610403,2,30,0,0,0,3,3
1C12810101,2,68,0,0,0,,
1C12810102,1,71,0,0,0,,
1C13010201,1,40,0,0,0,3,3
1C13110101,2,49,0,0,0,2,3
1C13110102,1,51,0,0,0,1,3
1C13110401,2,55,0,0,0,,3
1C13110402,1,58,0,0,0,3,3
1C13110501,2,62,0,0,0,,2
1C13110502,1,65,0,0,0,0,2
1C13210201,2,67,0,0,0,3,3
1C13210202,1,64,0,0,0,3,3
1C13310101,2,32,0,0,0,3,3
1C13310102,1,32,0,0,0,3,3
1C13310201,2,61,0,0,0,4,
1C13310301,2,32,0,0,0,2,4
1C13310302,1,32,0,0,0,4,4
1C13510501,2,49,0,0,0,3,
1C13510701,2,38,0,0,0,,3
1C13510702,1,40,0,0,0,3,3
1C13710201,2,63,0,0,0,3,3
