날짜,음식섭취등수값,음식명,음식섭취수,음식섭취비율,사용자연령값,시간
2020-01-09,11, 붕어빵,2,1.470588, [0-19],15
2020-01-09,11, 자연치즈로 만든 빵속에 순치즈,1,4.545455, [0-19],23
2020-01-09,11, 건빵,1,2.564103, [20-29],10
2020-01-05,11, 식빵,1,6.25, [0-19],7
2020-01-06,11, 붕어빵,2,1.282051, [0-19],16
2020-01-06,11, 붕어빵,2,2.105263, [0-19],15
2020-01-07,11, 식빵,1,1.694915, [20-29],20
2020-01-08,11, 삼립호빵(야채),1,1.369863, [0-19],8
2020-01-12,11, 옥수수빵,1,2.380952, [20-29],10
2020-01-13,11, 식빵,1,1.219512, [20-29],18
2020-01-13,11, 고구마빵,1,1.204819, [0-19],8
2020-01-13,11, 찐빵(팥),3,1.315789, [0-19],18
2020-01-14,11, 식빵(쨈),1,2.564103, [20-29],7
2020-01-14,11, 찐빵(호빵),1,1.612903, [20-29],17
2020-01-17,11, 식빵,1,4.761905, [0-19],7
2020-01-17,11, 붕어빵,2,1.869159, [0-19],22
2020-01-17,11, 밤빵,1,1.724138, [20-29],19
2020-01-20,11, 팥빵,1,4.761905, [20-29],22
2020-01-21,11, 식빵,1,3.448276, [20-29],8
2020-01-24,11, 국화빵,1,1.388889, [0-19],17
2020-01-30,11, 식빵(쨈),2,3.030303, [0-19],21
2020-01-31,11, 식빵,1,3.333333, [0-19],23
2020-01-01,11, 마늘빵,1,2.439024, [20-29],13
2020-01-02,11, 초코소라빵,1,2, [20-29],18
2020-01-02,11, 찐빵(팥),1,5.882353, [20-29],22
2020-01-04,11, 마늘빵(바게트),1,2, [20-29],17
2020-01-09,11, 크림빵,1,1.639344, [20-29],8
2020-01-05,11, 찐빵(호빵),2,2.631579, [0-19],10
2020-01-05,11, 식빵(쨈),1,1.162791, [0-19],16
2020-01-05,11, 호밀빵,1,5.882353, [20-29],8
2020-01-06,11, 식빵,1,1.754386, [0-19],8
2020-01-08,11, 식빵,2,2.197802, [0-19],10
2020-01-10,11, 삼립호빵(야채),1,7.692308, [20-29],3
